seed,episode,t,env_name,condition,agent_id,action,energy_true,energy_model,energy_pred,distress_self,distress_other_est,distress_coupled,pe,valence,arousal,Ns,internal,efference,g_eff,precision_eff,has_food,partner_alive,transfer_event,lesion_mode
0,0,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
1,1,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
2,2,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
3,3,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
4,4,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
5,5,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
6,6,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
7,7,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
8,8,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
9,9,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
10,10,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
11,11,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
12,12,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
13,13,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
14,14,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
15,15,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
16,16,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
17,17,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
18,18,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
19,19,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.68875,0.5125000000000001,0.011249999999999982,0.0,0.011249999999999982,0.27749999999999997,0.9775,0.28874999999999995,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,coupling_off
